10:
 num     #instances         #bytes  class name (module)
 310:           224           8960  com.fasterxml.jackson.databind.PropertyName
 311:           139           8896  com.google.inject.internal.SingletonScope$1
 312:           185           8880  java.lang.Thread$FieldHolder (java.base@21.0.6)
 313:           250           8776  [Lcom.google.protobuf.Descriptors$FieldDescriptor;
 314:           217           8680  io.grpc.netty.ClientTransportLifecycleManager
 315:           217           8680  io.grpc.netty.GrpcHttp2HeadersUtils$GrpcHttp2ClientHeadersDecoder
 316:           134           8576  java.security.AccessControlContext (java.base@21.0.6)
 317:           213           8520  org.glassfish.jersey.server.internal.routing.WildcardMethodSelectingRouter$ConsumesProducesAcceptor
 318:           177           8496  sun.reflect.generics.tree.MethodTypeSignature (java.base@21.0.6)
 319:           211           8440  io.grpc.Status
 320:            34           8432  io.netty.channel.epoll.EpollEventLoop
 321:            75           8400  com.aerospike.client.async.NettyCommand
 322:           208           8320  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@21.0.6)
 323:           173           8304  java.lang.module.ModuleDescriptor$Requires (java.base@21.0.6)
 324:           170           8160  com.google.inject.spi.ElementSource
 325:           169           8112  com.fasterxml.jackson.databind.introspect.AnnotatedField
 326:           101           8080  net.engio.mbassy.listener.MessageHandler
 327:            63           8064  kotlin.reflect.jvm.internal.KProperty1Impl
 328:           200           8000  io.undertow.util.HttpString
 329:            71           7952  java.lang.module.ModuleDescriptor (java.base@21.0.6)
 330:           329           7896  com.google.common.collect.RegularImmutableList
 331:           123           7872  com.google.inject.internal.MembersInjectorImpl
 332:           328           7872  java.lang.Character$UnicodeBlock (java.base@21.0.6)
 333:           328           7872  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.6)
 334:           244           7808  io.netty.handler.codec.http2.DefaultHttp2Connection$DefaultStream$PropertyMap
 335:           244           7808  io.netty.handler.codec.http2.DefaultHttp2Connection$PropertyKeyRegistry
 336:           244           7808  io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$WritabilityMonitor
 337:           244           7808  io.netty.handler.codec.http2.HpackHuffmanDecoder
 338:           244           7808  io.netty.handler.codec.http2.HpackHuffmanEncoder$EncodedLengthProcessor
 339:           244           7808  io.netty.handler.codec.http2.Http2FrameLogger
 340:           244           7808  io.netty.handler.codec.http2.Http2InboundFrameLogger
 341:           244           7808  io.netty.handler.codec.http2.Http2OutboundFrameLogger
 342:           325           7800  kotlin.reflect.jvm.internal.impl.protobuf.LiteralByteString
 343:           139           7784  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type$Argument
 344:           108           7776  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@21.0.6)
 345:            97           7760  java.lang.StackTraceElement (java.base@21.0.6)
 346:           322           7728  java.util.HashMap$EntrySet (java.base@21.0.6)
 347:           320           7680  com.google.inject.Key$AnnotationInstanceStrategy
 348:           238           7616  java.util.ImmutableCollections$Set12 (java.base@21.0.6)
 349:           190           7600  io.grpc.netty.WriteBufferingAndExceptionHandler
 350:           190           7600  io.netty.channel.epoll.EpollRecvByteAllocatorStreamingHandle
 351:           157           7536  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode (java.base@21.0.6)
 352:           186           7440  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@21.0.6)
 353:           186           7440  org.glassfish.hk2.utilities.cache.LRUHybridCache$HybridCacheEntryImpl
 354:           184           7360  java.io.File (java.base@21.0.6)
 355:           230           7360  java.net.InterfaceAddress (java.base@21.0.6)
 356:            83           7304  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@21.0.6)
 357:           228           7296  com.google.inject.internal.ProvisionListenerCallbackStore$KeyBinding
 358:           130           7280  java.security.ProtectionDomain (java.base@21.0.6)
 359:           123           7176  [Lcom.google.inject.internal.SingleParameterInjector;
 360:           112           7168  io.netty.buffer.PooledSlicedByteBuf
 361:           223           7136  java.util.regex.Pattern$BmpCharProperty (java.base@21.0.6)
 362:           296           7104  java.util.HashMap$KeySet (java.base@21.0.6)
 363:           126           7056  sun.reflect.generics.repository.ClassRepository (java.base@21.0.6)
 364:           145           6960  com.google.inject.internal.CycleDetectingLock$CycleDetectingLockFactory$ReentrantCycleDetectingLock
 365:           290           6960  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock (java.base@21.0.6)
 366:           290           6960  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock (java.base@21.0.6)
 367:           217           6944  io.grpc.internal.AtomicBackoff$State
 368:           217           6944  io.grpc.internal.InternalSubchannel$CallTracingTransport
 369:           217           6944  io.grpc.internal.InternalSubchannel$TransportListener
 370:           217           6944  io.grpc.netty.NettyChannelBuilder$NettyTransportFactory$1
 371:           217           6944  io.grpc.netty.NettyClientHandler$1
 372:           217           6944  io.grpc.netty.NettyClientHandler$2
 373:           108           6912  com.aerospike.connect.metrics.AerospikeGauge
 374:           172           6880  com.google.inject.internal.MoreTypes$ParameterizedTypeImpl
 375:            50           6800  kotlin.reflect.jvm.internal.KMutableProperty1Impl
 376:            96           6792  [Ljava.lang.reflect.Parameter; (java.base@21.0.6)
 377:           138           6624  com.codahale.metrics.EWMA
 378:           138           6624  io.netty.util.Recycler$LocalPool
 379:            69           6624  jdk.internal.module.ModuleReferenceImpl (java.base@21.0.6)
